Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   27.93    0.00    1.70    3.54    0.00    1.01    0.00    0.00    0.00   65.82
Average:       0   26.10    0.00    1.45    1.76    0.00    7.16    0.00    0.00    0.00   63.54
Average:       1   27.15    0.00    1.56    2.26    0.00    2.10    0.00    0.00    0.00   66.93
Average:       2   26.92    0.00    1.67    0.79    0.00    1.17    0.00    0.00    0.00   69.44
Average:       3   29.62    0.00    1.99    0.83    0.00    1.37    0.00    0.00    0.00   66.20
Average:       4   25.67    0.00    1.66    2.00    0.00    0.96    0.00    0.00    0.00   69.72
Average:       5   27.42    0.00    1.21    1.04    0.00    0.88    0.00    0.00    0.00   69.46
Average:       6   27.43    0.00    1.68    2.22    0.00    0.54    0.00    0.00    0.00   68.13
Average:       7   25.89    0.00    1.55    1.26    0.00    0.50    0.00    0.00    0.00   70.79
Average:       8   23.05    0.00    2.11    0.67    0.00    0.46    0.00    0.00    0.00   73.70
Average:       9   29.41    0.00    1.25    0.50    0.00    0.54    0.00    0.00    0.00   68.30
Average:      10   29.24    0.00    1.59    1.09    0.00    0.42    0.00    0.00    0.00   67.67
Average:      11   28.59    0.00    1.55    1.63    0.00    0.59    0.00    0.00    0.00   67.64
Average:      12   28.88    0.00    1.71    1.37    0.00    0.46    0.00    0.00    0.00   67.58
Average:      13   22.93    0.00    2.62   41.45    0.00    1.00    0.00    0.00    0.00   32.00
Average:      14   29.96    0.00    1.96    4.68    0.00    0.79    0.00    0.00    0.00   62.60
Average:      15   27.49    0.00    1.85    2.98    0.00    0.55    0.00    0.00    0.00   67.14
Average:      16   32.01    0.00    1.63    4.59    0.00    0.54    0.00    0.00    0.00   61.23
Average:      17   28.38    0.00    1.51    2.10    0.00    0.63    0.00    0.00    0.00   67.38
Average:      18   30.74    0.00    1.76    2.39    0.00    0.55    0.00    0.00    0.00   64.55
Average:      19   31.83    0.00    1.79    1.42    0.00    0.67    0.00    0.00    0.00   64.29
Average:      20   28.01    0.00    1.84    1.13    0.00    0.54    0.00    0.00    0.00   68.48
Average:      21   28.33    0.00    1.63    1.67    0.00    0.46    0.00    0.00    0.00   67.92
Average:      22   26.03    0.00    1.68    2.27    0.00    0.42    0.00    0.00    0.00   69.61
Average:      23   29.40    0.00    1.47    2.85    0.00    0.42    0.00    0.00    0.00   65.86
