Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    7.16    0.00    0.70    2.60    0.00    0.53    0.00    0.00    0.00   89.01
Average:       0    5.20    0.00    0.56    0.17    0.00    6.26    0.00    0.00    0.00   87.81
Average:       1   10.18    0.00    0.35    0.09    0.00    1.11    0.00    0.00    0.00   88.27
Average:       2    5.92    0.00    0.61    0.06    0.00    0.47    0.00    0.00    0.00   92.94
Average:       3    5.72    0.00    0.50    0.12    0.00    0.18    0.00    0.00    0.00   93.49
Average:       4    5.69    0.00    0.50    0.00    0.00    0.21    0.00    0.00    0.00   93.60
Average:       5    8.47    0.00    0.56    0.06    0.00    0.15    0.00    0.00    0.00   90.76
Average:       6    5.93    0.00    0.50    0.03    0.00    0.15    0.00    0.00    0.00   93.39
Average:       7    6.32    0.00    0.47    0.09    0.00    0.15    0.00    0.00    0.00   92.97
Average:       8    9.94    0.00    0.76    0.18    0.00    0.24    0.00    0.00    0.00   88.88
Average:       9    6.46    0.00    0.74    0.12    0.00    0.12    0.00    0.00    0.00   92.56
Average:      10    5.98    0.00    0.59    0.09    0.00    0.15    0.00    0.00    0.00   93.20
Average:      11    7.86    0.00    0.53    0.06    0.00    0.21    0.00    0.00    0.00   91.35
Average:      12    6.91    0.00    0.47    0.12    0.00    0.12    0.00    0.00    0.00   92.38
Average:      13    6.23    0.00    1.66   58.84    0.00    0.50    0.00    0.00    0.00   32.77
Average:      14    6.07    0.00    1.36    0.83    0.00    0.24    0.00    0.00    0.00   91.51
Average:      15    8.49    0.00    1.03    0.41    0.00    0.24    0.00    0.00    0.00   89.84
Average:      16    9.54    0.00    0.80    0.38    0.00    0.27    0.00    0.00    0.00   89.01
Average:      17    5.48    0.00    0.74    0.26    0.00    0.21    0.00    0.00    0.00   93.32
Average:      18    8.36    0.00    0.82    0.12    0.00    0.18    0.00    0.00    0.00   90.53
Average:      19    9.09    0.00    0.62    0.29    0.00    0.21    0.00    0.00    0.00   89.79
Average:      20    6.63    0.00    0.65    0.21    0.00    0.21    0.00    0.00    0.00   92.31
Average:      21    6.98    0.00    0.65    0.27    0.00    0.29    0.00    0.00    0.00   91.81
Average:      22    6.65    0.00    0.73    0.18    0.00    0.18    0.00    0.00    0.00   92.26
Average:      23    7.85    0.00    0.65    0.06    0.00    0.26    0.00    0.00    0.00   91.18
