Date-time,Apiname,Mean,Standard-deviation
2024-08-31_14-50-18,1.login,468.68,141.33
2024-08-31_14-50-18,2.course_list,35.73,13.19
2024-08-31_14-50-18,3.quiz_list,255.36,190.92
2024-08-31_14-50-18,4.quiz_info,802.91,352.79
2024-08-31_14-50-18,5.quiz_download,32.29,17.41
2024-08-31_14-50-18,6.quiz_authenticate,144.0,59.07
2024-08-31_14-50-18,7.quiz_submit,280.07,152.52
2024-08-31_14-50-59,1.login,468.68,141.33
2024-08-31_14-50-59,2.course_list,35.73,13.19
2024-08-31_14-50-59,3.quiz_list,255.36,190.92
2024-08-31_14-50-59,4.quiz_info,802.91,352.79
2024-08-31_14-50-59,5.quiz_download,32.29,17.41
2024-08-31_14-50-59,6.quiz_authenticate,144.0,59.07
2024-08-31_14-50-59,7.quiz_submit,280.07,152.52
2024-08-31_14-51-40,1.login,468.68,141.33
2024-08-31_14-51-40,2.course_list,35.73,13.19
2024-08-31_14-51-40,3.quiz_list,255.36,190.92
2024-08-31_14-51-40,4.quiz_info,802.91,352.79
2024-08-31_14-51-40,5.quiz_download,32.29,17.41
2024-08-31_14-51-40,6.quiz_authenticate,144.0,59.07
2024-08-31_14-51-40,7.quiz_submit,280.07,152.52
2024-08-31_14-52-21,1.login,468.68,141.33
2024-08-31_14-52-21,2.course_list,35.73,13.19
2024-08-31_14-52-21,3.quiz_list,255.36,190.92
2024-08-31_14-52-21,4.quiz_info,802.91,352.79
2024-08-31_14-52-21,5.quiz_download,32.29,17.41
2024-08-31_14-52-21,6.quiz_authenticate,144.0,59.07
2024-08-31_14-52-21,7.quiz_submit,280.07,152.52
2024-08-31_14-53-01,1.login,468.68,141.33
2024-08-31_14-53-01,2.course_list,35.73,13.19
2024-08-31_14-53-01,3.quiz_list,255.36,190.92
2024-08-31_14-53-01,4.quiz_info,802.91,352.79
2024-08-31_14-53-01,5.quiz_download,32.29,17.41
2024-08-31_14-53-01,6.quiz_authenticate,144.0,59.07
2024-08-31_14-53-01,7.quiz_submit,280.07,152.52
2024-08-31_14-53-42,1.login,468.68,141.33
2024-08-31_14-53-42,2.course_list,35.73,13.19
2024-08-31_14-53-42,3.quiz_list,255.36,190.92
2024-08-31_14-53-42,4.quiz_info,802.91,352.79
2024-08-31_14-53-42,5.quiz_download,32.29,17.41
2024-08-31_14-53-42,6.quiz_authenticate,144.0,59.07
2024-08-31_14-53-42,7.quiz_submit,280.07,152.52
2024-08-31_14-54-23,1.login,468.68,141.33
2024-08-31_14-54-23,2.course_list,35.73,13.19
2024-08-31_14-54-23,3.quiz_list,255.36,190.92
2024-08-31_14-54-23,4.quiz_info,802.91,352.79
2024-08-31_14-54-23,5.quiz_download,32.29,17.41
2024-08-31_14-54-23,6.quiz_authenticate,144.0,59.07
2024-08-31_14-54-23,7.quiz_submit,280.07,152.52
2024-08-31_14-55-03,1.login,468.68,141.33
2024-08-31_14-55-03,2.course_list,35.73,13.19
2024-08-31_14-55-03,3.quiz_list,255.36,190.92
2024-08-31_14-55-03,4.quiz_info,802.91,352.79
2024-08-31_14-55-03,5.quiz_download,32.29,17.41
2024-08-31_14-55-03,6.quiz_authenticate,144.0,59.07
2024-08-31_14-55-03,7.quiz_submit,280.07,152.52
2024-08-31_14-55-46,1.login,468.68,141.33
2024-08-31_14-55-46,2.course_list,35.73,13.19
2024-08-31_14-55-46,3.quiz_list,255.36,190.92
2024-08-31_14-55-46,4.quiz_info,802.91,352.79
2024-08-31_14-55-46,5.quiz_download,32.29,17.41
2024-08-31_14-55-46,6.quiz_authenticate,144.0,59.07
2024-08-31_14-55-46,7.quiz_submit,280.07,152.52
2024-08-31_14-56-27,1.login,468.68,141.33
2024-08-31_14-56-27,2.course_list,35.73,13.19
2024-08-31_14-56-27,3.quiz_list,255.36,190.92
2024-08-31_14-56-27,4.quiz_info,802.91,352.79
2024-08-31_14-56-27,5.quiz_download,32.29,17.41
2024-08-31_14-56-27,6.quiz_authenticate,144.0,59.07
2024-08-31_14-56-27,7.quiz_submit,280.07,152.52
